                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.85993,                0.56498,                0.90931,                0.77628,                0.34107,                0.40302,                0.21108,                 1.6815,                 1.3729,                 1.4071,             0.00052284,             0.00052284,             0.00052284
                     99,                0.80483,                0.52068,                0.89752,                0.75391,                0.33593,                0.40144,                0.21349,                 1.6893,                 1.3325,                 1.4092,             0.00052031,             0.00052031,             0.00052031
                    100,                0.86877,                0.53798,                0.89129,                0.62528,                0.36576,                0.41428,                 0.2287,                 1.7155,                 1.2422,                 1.4212,             0.00051777,             0.00051777,             0.00051777
                    101,                0.83519,                0.53896,                0.91168,                0.48985,                0.38982,                0.41395,                0.24056,                 1.6707,                 1.2053,                  1.389,             0.00051523,             0.00051523,             0.00051523
                    102,                 0.8493,                 0.5216,                 0.8969,                0.53456,                0.37728,                 0.3971,                0.23903,                 1.7046,                 1.2233,                 1.3978,             0.00051269,             0.00051269,             0.00051269
                    103,                0.83324,                0.51386,                0.89033,                0.65642,                0.36636,                0.38998,                0.22676,                 1.7542,                 1.2305,                  1.442,             0.00051015,             0.00051015,             0.00051015
                    104,                0.85094,                 0.5437,                0.89405,                0.63353,                0.34593,                 0.4048,                0.24622,                 1.7525,                 1.2634,                 1.4532,             0.00050762,             0.00050762,             0.00050762
                    105,                0.83485,                0.51437,                0.90164,                0.63874,                0.35709,                0.41226,                0.25956,                 1.7077,                 1.2694,                 1.4152,             0.00050508,             0.00050508,             0.00050508
                    106,                0.80182,                0.49468,                0.87867,                0.60339,                0.38134,                0.41142,                0.26845,                 1.6751,                  1.264,                 1.3961,             0.00050254,             0.00050254,             0.00050254
                    107,                0.82897,                0.50868,                0.89422,                0.60029,                0.38693,                0.41013,                0.26443,                  1.645,                 1.2966,                 1.3973,                 0.0005,                 0.0005,                 0.0005
                    108,                0.80472,                0.49706,                0.89165,                0.60385,                0.38407,                0.41485,                 0.2598,                 1.6261,                 1.2453,                 1.4013,             0.00049747,             0.00049747,             0.00049747
                    109,                0.78967,                0.50079,                0.88466,                0.60644,                0.38583,                0.40593,                0.25682,                 1.6063,                 1.2163,                 1.3814,             0.00049493,             0.00049493,             0.00049493
                    110,                0.81802,                0.50278,                0.89879,                0.60796,                0.37231,                0.42009,                0.26294,                 1.6152,                  1.214,                 1.3668,             0.00049239,             0.00049239,             0.00049239
                    111,                0.78897,                0.50007,                0.88294,                0.60721,                 0.3707,                0.41362,                0.25309,                  1.621,                 1.2115,                  1.358,             0.00048985,             0.00048985,             0.00048985
                    112,                0.78633,                0.49226,                0.87563,                0.61271,                0.39662,                0.42453,                0.26118,                 1.6274,                 1.2664,                 1.3614,             0.00048732,             0.00048732,             0.00048732
                    113,                0.80719,                0.49732,                0.87494,                0.62632,                0.39544,                 0.4285,                0.26398,                 1.6267,                 1.2808,                 1.3614,             0.00048478,             0.00048478,             0.00048478
                    114,                0.78322,                0.49123,                0.88104,                0.64079,                0.37515,                0.41293,                0.24845,                 1.6654,                 1.2954,                  1.403,             0.00048224,             0.00048224,             0.00048224
